"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		201",강화,Jul-18,25.5,29.7,34.6,2018-07-22,21.8,16.8,2018-07-08
"		201",강화,Aug-18,26.7,31.1,35.4,2018-08-15,22.9,17.2,2018-08-26
"		201",강화,Sep-18,20,24.9,29.6,2018-09-01,15.2,8.2,2018-09-25
"		201",강화,Oct-18,12.1,17.9,24.5,2018-10-04,6.5,-0.1,2018-10-30
"		201",강화,Nov-18,6.7,12.5,18.8,2018-11-04,1.5,-5.5,2018-11-23
"		201",강화,Dec-18,-1.5,3.6,13.2,2018-12-03,-6.5,-14.3,2018-12-28
"		201",강화,Jan-19,-1.9,3.6,7.8,2019-01-19,-7.6,-12.6,2019-01-16
"		201",강화,Feb-19,0,5.3,13.3,2019-02-23,-5.5,-11.2,2019-02-08
"		201",강화,Mar-19,5.6,11.3,15.1,2019-03-04,0.1,-4.6,2019-03-14
"		201",강화,Apr-19,10.7,16.4,25.5,2019-04-22,4.8,-1.2,2019-04-02
"		201",강화,May-19,16.9,22.8,29,2019-05-24,10.8,5.5,2019-05-07
"		201",강화,Jun-19,20.5,25.3,29.1,2019-06-27,16.2,10.9,2019-06-02
"		201",강화,Jul-19,24.4,28.3,35,2019-07-19,21,17,2019-07-04
"		201",강화,Aug-19,25.9,30.2,34.9,2019-08-11,21.7,16.3,2019-08-31
"		201",강화,Sep-19,21.2,26,30.1,2019-09-09,17.1,9.6,2019-09-19
"		201",강화,Oct-19,15.3,21,28.3,2019-10-03,9.9,2.7,2019-10-27
"		201",강화,Nov-19,6.5,12.5,20.4,2019-11-03,1.1,-5.5,2019-11-20
"		201",강화,Dec-19,0.8,5.5,12.1,2019-12-17,-4.2,-12,2019-12-06
"		201",강화,Jan-20,0.7,5.6,10.6,2020-01-26,-3.6,-9.2,2020-01-15
"		201",강화,Feb-20,1.5,6.6,14.7,2020-02-15,-3.4,-13.4,2020-02-06
"		201",강화,Mar-20,6.4,11.8,20.3,2020-03-26,0.4,-6.3,2020-03-06
"		201",강화,Apr-20,9.9,15,20.6,2020-04-16,4,-0.5,2020-04-06
"		201",강화,May-20,16.1,21.1,27,2020-05-30,11.7,7.4,2020-05-06
"		201",강화,Jun-20,21.2,25.9,31.7,2020-06-22,17.2,12.1,2020-06-02
"		201",강화,Jul-20,22.5,26.4,30.4,2020-07-09,19.5,17,2020-07-13
"		201",강화,Aug-20,25.3,28.1,34.2,2020-08-26,23.1,20.3,2020-08-08
"		201",강화,Sep-20,20.2,24.5,29.2,2020-09-01,16.4,10.8,2020-09-21
"		201",강화,Oct-20,13.2,18.8,23,2020-10-08,7.2,2.3,2020-10-29
"		201",강화,Nov-20,6.9,12,21.1,2020-11-19,1.6,-6.1,2020-11-30
"		201",강화,Dec-20,-1.2,3.6,10.2,2020-12-27,-6.1,-13.6,2020-12-31
"		201",강화,Jan-21,-3.3,1.7,12.2,2021-01-25,-8.6,-18,2021-01-08
"		201",강화,Feb-21,1.3,6.7,15,2021-02-27,-4.1,-11.6,2021-02-03
"		201",강화,Mar-21,6.9,12.6,20.7,2021-03-31,1.6,-2.6,2021-03-10
"		201",강화,Apr-21,12.4,17.6,25.5,2021-04-21,7.1,1.4,2021-04-14
"		201",강화,May-21,15.7,20.8,27.8,2021-05-14,10.9,5.9,2021-05-03
"		201",강화,Jun-21,20.7,25.5,29.9,2021-06-16,16.8,12.9,2021-06-04
"		201",강화,Jul-21,26.1,30.6,34.8,2021-07-24,22.3,19,2021-07-01
"		201",강화,Aug-21,24.5,28.9,32.6,2021-08-09,21.1,18.3,2021-08-31
